name,balance,tag,url
Manuel Romero,63.26,Fund,/explorer/entity/manuel-romero
Chernovetskyi Investment Group,60.23,Fund,/explorer/entity/chernovestky-investment-group
Centrality,59.29,Fund,/explorer/entity/centrality
Golden Gateways,59.16,Fund,/explorer/entity/golden-gateways
Flipside Investing,58.64,Fund,/explorer/entity/flipside-investing
Pelian Group,58.57,Fund,/explorer/entity/pelian-group
Yuba Securities,58.25,Fund,/explorer/entity/yuba-securities
GlobalStar,57.66,Fund,/explorer/entity/globalstar
AI360,54.16,Fund,/explorer/entity/ai360
Lindy Digital,53.55,Fund,/explorer/entity/lindy-digital
The Creations Group,52.64,Fund,/explorer/entity/the-creations-group
Andes Capital,51.94,Fund,/explorer/entity/andes-capital
Newave Capital,51.89,Fund,/explorer/entity/newave-capital
Sequoia Capital,49.99,Fund,/explorer/entity/sequoia-capital
MMXX Capital,49.87,Fund,/explorer/entity/mmxx-capital
Maelstrom Fund,48.08,Fund,/explorer/entity/maelstromfund
Kenetic Capital,47.76,Fund,/explorer/entity/kenetic-capital
Silveridge Holdings,47.34,Fund,/explorer/entity/silveridge-holdings
100X,47.04,Fund,/explorer/entity/100x
dao5,46.01,Fund,/explorer/entity/dao5
Finery Tech,45.91,Fund,/explorer/entity/finery-tech
Digital Strategies,43.63,Fund,/explorer/entity/digital-strategies
Yuntai Fund,43.34,Fund,/explorer/entity/yuntai-fund
Novatron Capital,42.72,Fund,/explorer/entity/novatron-capital
SIGTERM Inc.,41.84,Fund,/explorer/entity/sigterm-inc
Hehmeyer Nortide,41.45,Fund,/explorer/entity/hehmeyer-nortide
Ballast Capital,40.86,Fund,/explorer/entity/ballast-trading
Rising Venture,40.65,Fund,/explorer/entity/rising-venture
G-20 Group,39.38,Fund,/explorer/entity/g-20-group
Ryu Capital,38.79,Fund,/explorer/entity/ryu-capital
Kryptos Fund,38.74,Fund,/explorer/entity/kryptos-fund
Sora Ventures,37.76,Fund,/explorer/entity/sora-ventures
Qube RT,36.23,Fund,/explorer/entity/qube-rt
Unifund Capital,35.75,Fund,/explorer/entity/unifund-capital
Agnostic Fund,35.20,Fund,/explorer/entity/agnostic-fund
United Traders,33.80,Fund,/explorer/entity/united-traders
Cryptotrust Fiduciaria,33.53,Fund,/explorer/entity/cryptotrust-fiduciara
Titan Ventures,33.23,Fund,/explorer/entity/titan-ventures
IDEG,32.66,Fund,/explorer/entity/ideg
Knight Club Capital,32.42,Fund,/explorer/entity/knight-club-capital
Teesta Investment,31.99,Fund,/explorer/entity/teesta-investment
WX Capital,30.26,Fund,/explorer/entity/wx-trading
Blitz Network,27.75,Fund,/explorer/entity/blitz-network
Accent Solutions and Trade,27.20,Fund,/explorer/entity/accent-solutions-and-trade
Aureas Finance,27.18,Fund,/explorer/entity/aureas-finance
Numerium3,25.70,Fund,/explorer/entity/numerium3
BlockTower Capital,24.31,Fund,/explorer/entity/blocktower-capital
Mercy Corps Ventures,23.85,Fund,/explorer/entity/mercy-corps-ventures
dwtrades,23.19,Fund,/explorer/entity/dwtrades
Sneaky Ventures,22.40,Fund,/explorer/entity/sneaky-ventures
Global Map,21.44,Fund,/explorer/entity/global-map
Moonvault Capital,19.98,Fund,/explorer/entity/moonvault-capital
CQ Capital,19.51,Fund,/explorer/entity/cq-capital
11 Ventures,19.31,Fund,/explorer/entity/11-ventures
ZhenFund,18.09,Fund,/explorer/entity/zhenfund
CMT Digital,16.34,Fund,/explorer/entity/cmt-digital
Agatha Ventures,15.59,Fund,/explorer/entity/agatha-ventures
CrypPro,15.26,Fund,/explorer/entity/cryppro
ANB Investments,12.72,Fund,/explorer/entity/anb-investments
Starry Night Capital,12.45,Fund,/explorer/entity/starry-night-capital
Melanion Capital,12.43,Fund,/explorer/entity/melanion-capital
cyber•Fund,11.20,Fund,/explorer/entity/cyber-fund
